
time 04h 27m 45s, episodes 165848, frames 59.7M, run epr 380.85, run loss 198.03
time 04h 28m 47s, episodes 166457, frames 60.0M, run epr 346.53, run loss 191.25

	60M frames: saved model

time 04h 29m 49s, episodes 167063, frames 60.2M, run epr 354.55, run loss 178.00
time 04h 30m 52s, episodes 167660, frames 60.4M, run epr 376.73, run loss 201.26
time 04h 31m 53s, episodes 168284, frames 60.7M, run epr 335.41, run loss 129.20
time 04h 32m 55s, episodes 168894, frames 60.9M, run epr 335.36, run loss 174.06
time 04h 33m 56s, episodes 169486, frames 61.1M, run epr 363.49, run loss 195.26
time 04h 34m 56s, episodes 170070, frames 61.3M, run epr 375.62, run loss 210.49
time 04h 35m 57s, episodes 170632, frames 61.6M, run epr 392.57, run loss 210.24
time 04h 36m 58s, episodes 171231, frames 61.8M, run epr 388.04, run loss 197.33

	62M frames: saved model

time 04h 38m 00s, episodes 171855, frames 62.0M, run epr 365.26, run loss 137.63
time 04h 39m 00s, episodes 172441, frames 62.2M, run epr 394.92, run loss 204.52
time 04h 40m 01s, episodes 173039, frames 62.5M, run epr 373.68, run loss 195.05
time 04h 41m 02s, episodes 173637, frames 62.7M, run epr 360.12, run loss 181.69
time 04h 42m 02s, episodes 174235, frames 62.9M, run epr 337.14, run loss 158.68
time 04h 43m 05s, episodes 174834, frames 63.2M, run epr 372.61, run loss 204.88
time 04h 44m 05s, episodes 175412, frames 63.4M, run epr 378.64, run loss 201.64
time 04h 45m 05s, episodes 176002, frames 63.6M, run epr 326.63, run loss 169.00
time 04h 46m 06s, episodes 176642, frames 63.8M, run epr 329.74, run loss 117.90

	64M frames: saved model

time 04h 47m 07s, episodes 177225, frames 64.1M, run epr 366.99, run loss 206.65
time 04h 48m 07s, episodes 177814, frames 64.3M, run epr 358.36, run loss 186.94
time 04h 49m 09s, episodes 178410, frames 64.5M, run epr 371.82, run loss 223.30
time 04h 50m 10s, episodes 179008, frames 64.7M, run epr 352.09, run loss 175.68
time 04h 51m 13s, episodes 179619, frames 65.0M, run epr 362.60, run loss 207.93
time 04h 52m 15s, episodes 180236, frames 65.2M, run epr 346.27, run loss 161.59
time 04h 53m 15s, episodes 180813, frames 65.4M, run epr 404.60, run loss 227.79
time 04h 54m 17s, episodes 181401, frames 65.7M, run epr 390.55, run loss 205.39
time 04h 55m 18s, episodes 181982, frames 65.9M, run epr 400.49, run loss 235.65

	66M frames: saved model

time 04h 56m 19s, episodes 182558, frames 66.1M, run epr 394.41, run loss 221.80
time 04h 57m 22s, episodes 183152, frames 66.4M, run epr 397.42, run loss 206.44
time 04h 58m 24s, episodes 183750, frames 66.6M, run epr 395.76, run loss 206.73
time 04h 59m 25s, episodes 184341, frames 66.8M, run epr 389.06, run loss 211.08
time 05h 00m 26s, episodes 184946, frames 67.0M, run epr 378.68, run loss 204.06
time 05h 01m 27s, episodes 185513, frames 67.3M, run epr 404.59, run loss 249.83
time 05h 02m 27s, episodes 186063, frames 67.5M, run epr 402.47, run loss 268.74
time 05h 03m 27s, episodes 186627, frames 67.7M, run epr 388.76, run loss 234.34
time 05h 04m 28s, episodes 187184, frames 67.9M, run epr 422.81, run loss 254.04

	68M frames: saved model

time 05h 05m 29s, episodes 187739, frames 68.2M, run epr 411.05, run loss 201.00
time 05h 06m 31s, episodes 188318, frames 68.4M, run epr 422.33, run loss 263.22
time 05h 07m 31s, episodes 188856, frames 68.6M, run epr 431.74, run loss 246.90
time 05h 08m 32s, episodes 189404, frames 68.9M, run epr 413.97, run loss 226.18
time 05h 09m 32s, episodes 189961, frames 69.1M, run epr 417.37, run loss 241.36
time 05h 10m 34s, episodes 190548, frames 69.3M, run epr 400.23, run loss 170.12
time 05h 11m 35s, episodes 191108, frames 69.5M, run epr 404.56, run loss 263.63
time 05h 12m 35s, episodes 191678, frames 69.8M, run epr 394.05, run loss 222.41
time 05h 13m 37s, episodes 192260, frames 70.0M, run epr 400.79, run loss 233.22

	70M frames: saved model

time 05h 14m 39s, episodes 192835, frames 70.2M, run epr 427.01, run loss 231.20
time 05h 15m 40s, episodes 193437, frames 70.5M, run epr 315.66, run loss 125.97
time 05h 16m 41s, episodes 194127, frames 70.7M, run epr 249.93, run loss 70.08
time 05h 17m 43s, episodes 194852, frames 70.9M, run epr 178.14, run loss 60.36
time 05h 18m 43s, episodes 195556, frames 71.1M, run epr 270.78, run loss 86.66
time 05h 19m 44s, episodes 196174, frames 71.4M, run epr 325.38, run loss 102.39
time 05h 20m 45s, episodes 196787, frames 71.6M, run epr 365.09, run loss 180.60
time 05h 21m 45s, episodes 197375, frames 71.8M, run epr 363.82, run loss 169.12

	72M frames: saved model

time 05h 22m 48s, episodes 198010, frames 72.0M, run epr 348.74, run loss 183.68
time 05h 23m 49s, episodes 198620, frames 72.3M, run epr 353.99, run loss 156.00
time 05h 24m 51s, episodes 199216, frames 72.5M, run epr 350.42, run loss 186.10
time 05h 25m 52s, episodes 199807, frames 72.7M, run epr 360.12, run loss 191.00
time 05h 26m 53s, episodes 200400, frames 73.0M, run epr 371.36, run loss 211.28
time 05h 27m 54s, episodes 200989, frames 73.2M, run epr 375.32, run loss 204.02
time 05h 28m 55s, episodes 201554, frames 73.4M, run epr 390.02, run loss 229.84
